#TGICL_NAME	CONTIG_NAME
CL470Contig1	HCGP-HN-CO_00548
CL471Contig1	HCGP-HN-CO_00549
CL472Contig1	HCGP-HN-CO_00550
CL473Contig1	HCGP-HN-CO_00551
CL474Contig1	HCGP-HN-CO_00552
CL475Contig1	HCGP-HN-CO_00553
CL476Contig1	HCGP-HN-CO_00554
CL478Contig1	HCGP-HN-CO_00555
CL479Contig1	HCGP-HN-CO_00556
CL47Contig1	HCGP-HN-CO_00557
CL480Contig1	HCGP-HN-CO_00558
CL481Contig1	HCGP-HN-CO_00559
CL482Contig1	HCGP-HN-CO_00560
CL483Contig1	HCGP-HN-CO_00561
CL484Contig1	HCGP-HN-CO_00562
CL485Contig1	HCGP-HN-CO_00563
CL486Contig1	HCGP-HN-CO_00564
CL487Contig1	HCGP-HN-CO_00565
CL488Contig1	HCGP-HN-CO_00566
CL489Contig1	HCGP-HN-CO_00567
CL48Contig1	HCGP-HN-CO_00568
CL490Contig1	HCGP-HN-CO_00569
CL491Contig1	HCGP-HN-CO_00570
CL492Contig1	HCGP-HN-CO_00571
CL493Contig1	HCGP-HN-CO_00572
CL494Contig1	HCGP-HN-CO_00573
CL495Contig1	HCGP-HN-CO_00574
CL496Contig1	HCGP-HN-CO_00575
CL497Contig1	HCGP-HN-CO_00576
CL498Contig1	HCGP-HN-CO_00577
CL499Contig1	HCGP-HN-CO_00578
CL49Contig1	HCGP-HN-CO_00579
CL4Contig1	HCGP-HN-CO_00580
CL4Contig2	HCGP-HN-CO_00581
CL4Contig3	HCGP-HN-CO_00582
CL4Contig4	HCGP-HN-CO_00583
CL4Contig5	HCGP-HN-CO_00584
CL4Contig6	HCGP-HN-CO_00585
CL4Contig7	HCGP-HN-CO_00586
CL500Contig1	HCGP-HN-CO_00587
CL501Contig1	HCGP-HN-CO_00588
CL502Contig1	HCGP-HN-CO_00589
CL503Contig1	HCGP-HN-CO_00590
CL504Contig1	HCGP-HN-CO_00591
CL505Contig1	HCGP-HN-CO_00592
CL506Contig1	HCGP-HN-CO_00593
CL507Contig1	HCGP-HN-CO_00594
CL508Contig1	HCGP-HN-CO_00595
CL509Contig1	HCGP-HN-CO_00596
CL50Contig1	HCGP-HN-CO_00597
CL510Contig1	HCGP-HN-CO_00598
CL512Contig1	HCGP-HN-CO_00599
CL513Contig1	HCGP-HN-CO_00600
CL515Contig1	HCGP-HN-CO_00601
CL516Contig1	HCGP-HN-CO_00602
CL518Contig1	HCGP-HN-CO_00603
CL519Contig1	HCGP-HN-CO_00604
CL51Contig1	HCGP-HN-CO_00605
CL520Contig1	HCGP-HN-CO_00606
CL521Contig1	HCGP-HN-CO_00607
CL522Contig1	HCGP-HN-CO_00608
CL523Contig1	HCGP-HN-CO_00609
CL524Contig1	HCGP-HN-CO_00610
CL525Contig1	HCGP-HN-CO_00611
CL526Contig1	HCGP-HN-CO_00612
CL527Contig1	HCGP-HN-CO_00613
CL528Contig1	HCGP-HN-CO_00614
CL52Contig1	HCGP-HN-CO_00615
CL52Contig2	HCGP-HN-CO_00616
CL530Contig1	HCGP-HN-CO_00617
CL531Contig1	HCGP-HN-CO_00618
CL532Contig1	HCGP-HN-CO_00619
CL533Contig1	HCGP-HN-CO_00620
CL534Contig1	HCGP-HN-CO_00621
CL535Contig1	HCGP-HN-CO_00622
CL536Contig1	HCGP-HN-CO_00623
CL537Contig1	HCGP-HN-CO_00624
CL538Contig1	HCGP-HN-CO_00625
CL539Contig1	HCGP-HN-CO_00626
CL53Contig1	HCGP-HN-CO_00627
