#TGICL_NAME	CONTIG_NAME
CL280Contig1	HCGP-CN-CO_00557
CL281Contig1	HCGP-CN-CO_00558
CL282Contig1	HCGP-CN-CO_00559
CL283Contig1	HCGP-CN-CO_00560
CL284Contig1	HCGP-CN-CO_00561
CL285Contig1	HCGP-CN-CO_00562
CL286Contig1	HCGP-CN-CO_00563
CL287Contig1	HCGP-CN-CO_00564
CL288Contig1	HCGP-CN-CO_00565
CL289Contig1	HCGP-CN-CO_00566
CL28Contig1	HCGP-CN-CO_00567
CL290Contig1	HCGP-CN-CO_00568
CL291Contig1	HCGP-CN-CO_00569
CL293Contig1	HCGP-CN-CO_00570
CL294Contig1	HCGP-CN-CO_00571
CL295Contig1	HCGP-CN-CO_00572
CL296Contig1	HCGP-CN-CO_00573
CL297Contig1	HCGP-CN-CO_00574
CL298Contig1	HCGP-CN-CO_00575
CL299Contig1	HCGP-CN-CO_00576
CL29Contig1	HCGP-CN-CO_00577
CL29Contig2	HCGP-CN-CO_00578
CL29Contig3	HCGP-CN-CO_00579
CL2Contig1	HCGP-CN-CO_00580
CL300Contig1	HCGP-CN-CO_00581
CL302Contig1	HCGP-CN-CO_00582
CL303Contig1	HCGP-CN-CO_00583
CL304Contig1	HCGP-CN-CO_00584
CL305Contig1	HCGP-CN-CO_00585
CL306Contig1	HCGP-CN-CO_00586
CL307Contig1	HCGP-CN-CO_00587
CL308Contig1	HCGP-CN-CO_00588
CL309Contig1	HCGP-CN-CO_00589
CL30Contig1	HCGP-CN-CO_00590
CL30Contig2	HCGP-CN-CO_00591
CL30Contig3	HCGP-CN-CO_00592
CL310Contig1	HCGP-CN-CO_00593
CL311Contig1	HCGP-CN-CO_00594
CL312Contig1	HCGP-CN-CO_00595
CL313Contig1	HCGP-CN-CO_00596
CL314Contig1	HCGP-CN-CO_00597
CL315Contig1	HCGP-CN-CO_00598
CL316Contig1	HCGP-CN-CO_00599
CL317Contig1	HCGP-CN-CO_00600
CL318Contig1	HCGP-CN-CO_00601
CL319Contig1	HCGP-CN-CO_00602
CL31Contig1	HCGP-CN-CO_00603
CL31Contig2	HCGP-CN-CO_00604
CL320Contig1	HCGP-CN-CO_00605
CL321Contig1	HCGP-CN-CO_00606
CL322Contig1	HCGP-CN-CO_00607
CL323Contig1	HCGP-CN-CO_00608
CL324Contig1	HCGP-CN-CO_00609
CL325Contig1	HCGP-CN-CO_00610
CL326Contig1	HCGP-CN-CO_00611
CL327Contig1	HCGP-CN-CO_00612
CL328Contig1	HCGP-CN-CO_00613
CL329Contig1	HCGP-CN-CO_00614
CL32Contig1	HCGP-CN-CO_00615
CL32Contig2	HCGP-CN-CO_00616
