#TGICL_NAME	CONTIG_NAME
CL1506Contig1	HCGP-NT-CO_00580
CL1507Contig1	HCGP-NT-CO_00581
CL1508Contig1	HCGP-NT-CO_00582
CL1509Contig1	HCGP-NT-CO_00583
CL150Contig1	HCGP-NT-CO_00584
CL150Contig2	HCGP-NT-CO_00585
CL1510Contig1	HCGP-NT-CO_00586
CL1511Contig1	HCGP-NT-CO_00587
CL1512Contig1	HCGP-NT-CO_00588
CL1513Contig1	HCGP-NT-CO_00589
CL1514Contig1	HCGP-NT-CO_00590
CL1515Contig1	HCGP-NT-CO_00591
CL1516Contig1	HCGP-NT-CO_00592
CL1517Contig1	HCGP-NT-CO_00593
CL1518Contig1	HCGP-NT-CO_00594
CL1519Contig1	HCGP-NT-CO_00595
CL151Contig1	HCGP-NT-CO_00596
CL1520Contig1	HCGP-NT-CO_00597
CL1521Contig1	HCGP-NT-CO_00598
CL1522Contig1	HCGP-NT-CO_00599
CL1523Contig1	HCGP-NT-CO_00600
CL1524Contig1	HCGP-NT-CO_00601
CL1525Contig1	HCGP-NT-CO_00602
CL1526Contig1	HCGP-NT-CO_00603
CL1527Contig1	HCGP-NT-CO_00604
CL1528Contig1	HCGP-NT-CO_00605
CL1529Contig1	HCGP-NT-CO_00606
